,year,PerCapitaIncome
0,2015,37146.36871830397
1,2025,45431.01947053103
2,2069,81883.48278033035
3,2017,38803.29886874952
4,2048,64485.71620065346
5,2023,43774.08932008571
6,2028,47916.414696199354
7,2019,40460.22901919484
8,2030,49573.34484664467
9,2075,86854.27323166654
